Offense,Punishment,Section
Sexual intercourse by husband upon his wife during separation,2 to 7 years + Fine,IPC_376B
Sexual intercourse by a person in authority,Rigorous Imprisonment for 5 to 10 years + Fine,IPC_376C
Gang rape,Rigorous Imprisonment for 20 years to Imprisonment for Natural-Life + Fine paid to the victim,IPC_376D
nan,nan,IPC_376DA
nan,nan,IPC_376DB
Repeat offenders,Imprisonment for Natural-Life or Death,IPC_376E
Unnatural offences,Imprisonment for Life or 10 Years + Fine,IPC_377
nan,nan,IPC_378
Theft,3 Years or Fine or Both,IPC_379
"Theft in a building, tent or vessel",7 Years + Fine,IPC_380
Theft by clerk or servant of property in possession of master or employer,7 Years + Fine,IPC_381
"Theft, after preparation having been made for causing death, or hurt, or restraint or fear of death, or of hurt or of restraint, in order to the committing of such theft, or to retiring after committing it, or to retaining property taken by it",Rigorous Imprisonment for 10 Years + Fine,IPC_382
nan,nan,IPC_383
Extortion,3 Years or Fine or Both,IPC_384
"Putting or attempting to put in fear of injury, in order to commit extortion",2 Years or Fine or Both,IPC_385
extortion by putting a person in fear of death or grievous hurt,10 Years + Fine,IPC_386
Putting or attempting to put a person in fear of death or grievous hurt in order to commit extortion,7 Years + Fine,IPC_387
"Extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years.",10 Years + Fine.,IPC_388
"Putting a person in fear of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years in order to commit extortion.",10 Years + Fine,IPC_389
nan,nan,IPC_390
nan,nan,IPC_391
Robbery,Rigorous Imprisonment for 10 Years + Fine,IPC_392
Attempt to commit robbery,Rigorous Imprisonment for 7 Years + Fine,IPC_393
"Person voluntarily causing hurt in committing or attempting to commit robbery, or any other person jointly concerned in such robbery",Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,IPC_394
Dacoity,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,IPC_395
Murder in Dacoity,"Death, Imprisonment for Life, or Rigorous Imprisonment for 10 Years + Fine",IPC_396
"Robber or Dacoity, with attempt to cause death or grievous hurt",Rigorous Imprisonment for not less than 7 Years,IPC_397
Attempt to commit robbery or Dacoity when armed with deadly weapons,Rigorous Imprisonment for not less than 7 Years,IPC_398
Making preparation to commit Dacoity,Rigorous Imprisonment for 10 Years + Fine,IPC_399
Belonging to a gang of persons associated for the purpose of habitually committing Dacoity,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,IPC_400
Belonging to a wandering gang of persons associated for the purpose of habitually committing thefts,Rigorous Imprisonment for 7 Years + Fine,IPC_401
Being one of five or more persons assembled for the purpose of committing Dacoity,Rigorous Imprisonment for 7 Years + Fine,IPC_402
"Dishonest misappropriation of movable property, or converting it to oneâ€™s own use",2 Years or Fine or Both,IPC_403
"Dishonest misappropriation of property, knowing that it was in possession of a deceased person at his death, and that it has not since been in the possession of any person legally entitled to it",3 Years + Fine,IPC_404
nan,nan,IPC_405
Criminal breach of trust,3 Years or Fine or Both,IPC_406
"Criminal breach of trust by a carrier, wharfinger, etc.",7 Years + Fine,IPC_407
